gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,44,7168,3584,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,40,1,13.2961,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,170029.0,3.94
gfx950,256,44,7168,1536,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,49,1,6.959,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0459,139227.51,3.27
gfx950,256,44,7168,768,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,12,1,4.7934,flydsl_gemm2_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,101063.8,2.44
gfx950,256,44,3584,7168,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,40,1,21.4564,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,105363.75,2.44
gfx950,256,44,2304,1536,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,57,2,5.799,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0463,53703.58,1.28
gfx950,256,44,2112,7168,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,40,1,21.1191,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,63080.96,1.47
gfx950,256,44,1536,7168,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,40,1,20.7934,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,46595.69,1.1
gfx950,256,44,1536,128,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,4,1,2.5647,flydsl_gemm2_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,6745.98,0.21
gfx950,256,44,896,7168,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,40,1,21.0563,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,26841.51,0.64
gfx950,256,43,7168,3584,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,95,1,12.1191,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0499,182302.47,4.32
gfx950,256,43,7168,1536,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,49,1,6.9934,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0455,135393.41,3.26
gfx950,256,43,7168,768,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,42,1,4.799,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0409,98652.23,2.44
gfx950,256,43,3584,7168,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,40,1,21.4563,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,102969.81,2.44
gfx950,256,43,2304,1536,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,57,2,5.7706,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0469,52741.6,1.28
gfx950,256,43,2112,7168,0,torch.bfloat16,torch.bfloat16,0,0,flydsl,40,1,21.1877,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,61447.79,1.47
