operation,message_bytes,repetitions,mean_GBps,min_GBps,max_GBps,mean_wall_us,mean_transfer_us,min_run_p99_us,max_run_p99_us,min_run_p999_us,max_run_p999_us
read,4096,3,0.5003561378674665,0.4984865981187626,0.5019565076086985,8.18623604392901,7.059623575570058,8.0,8.0,10.0,11.0
read,8192,3,0.9812618331638756,0.9762367774579335,0.9893626410197743,8.34872324203843,7.302141062530948,8.0,9.0,10.0,11.0
read,16384,3,1.8692500605464117,1.8618482688000002,1.8767340205063918,8.76510506757501,8.041590108107158,9.0,9.0,11.0,12.0
read,32768,3,3.580697534218389,3.565842962157038,3.590836931228296,9.151371960792318,8.056875374343699,9.0,10.0,11.0,12.0
read,65536,3,6.6105201214267755,6.576293778847465,6.6346180950110485,9.914035189988338,9.07244459745581,10.0,10.0,12.0,13.0
read,131072,3,11.043801933350329,10.9753925632,11.0881406976,11.868611568722141,11.02096340782566,12.0,12.0,14.0,15.0
read,262144,3,17.50306697106177,17.332157515842482,17.704009836776393,14.978178280116031,14.074501194266388,15.0,16.0,18.0,19.0
read,524288,3,22.964354957694546,22.912953881409223,23.01218497220809,22.830584149332264,21.447838214570965,24.0,25.0,26.0,30.0
read,1048576,3,30.335508406330323,29.935940080131825,30.55980475586383,34.56899433779116,32.75935852006028,49.0,49.0,51.0,52.0
read,2097152,3,30.524125696395707,30.233979081767348,30.679349244907552,68.7078599179922,66.20091082094426,84.0,86.0,89.0,90.0
read,4194304,3,35.80223107745133,35.54519796235953,35.93792094961737,117.1550617829998,114.65596008079781,147.00000000005093,155.2699999999968,160.0,161.0
read,8388608,3,39.19519339086779,39.160375081597905,39.23412232264836,214.02147225666144,211.52079733642964,223.36000000000058,270.90000000003783,300.0,301.0
read,16777216,3,41.22154820968126,41.21693708342592,41.22992964659706,407.0011214180342,404.5028559745033,439.20000000001164,444.84999999988395,581.0,581.0
read,33554432,3,41.55179880961917,41.37043857093117,41.90842109410421,807.5622156785951,805.052073814844,941.7500000001328,990.0399999998299,1148.0,1187.0
read,67108864,3,41.823256240512926,41.78853882112557,41.84249321346955,1604.583029951982,1602.0787471150106,1604.83,1606.0,2360.0,2363.887
write,4096,3,0.5015755508396647,0.4986648629340548,0.5044724841385222,8.166449750191946,7.065704674982779,8.0,9.0,10.0,12.0
write,8192,3,0.9906987270880243,0.9859524836285098,0.994896304882956,8.26902508580103,7.1468484983858955,8.0,9.0,10.0,12.0
write,16384,3,1.9253342860587188,1.9081598885761561,1.9350388736000002,8.51003305492369,7.733591253398925,8.0,9.0,10.0,12.0
write,32768,3,3.6564099802635868,3.641998631600274,3.667270727566836,8.961871590111139,8.041331150422923,9.0,9.0,11.0,12.0
write,65536,3,6.728749591086833,6.7016327168,6.751615475661429,9.739791244426165,9.016499333684717,9.0,10.0,12.0,13.0
write,131072,3,11.10367177332039,11.05551450627969,11.143044265338029,11.804509607726386,10.95960729504708,12.0,12.0,14.0,15.0
write,262144,3,17.075179699210093,16.51841753214948,17.385309834704262,15.360676734985498,14.346883404089255,16.0,16.0,18.0,19.0
write,524288,3,23.013176365697383,22.77099049303993,23.3445523456,22.784595622157617,21.38837925912564,24.0,24.0,26.0,27.0
write,1048576,3,29.7657023669789,29.494372578090015,29.9918619350351,35.22934304381233,33.425933362761754,55.0,56.0,58.0,59.0
write,2097152,3,30.969740273355836,30.70157883381166,31.117211533557743,67.71872161313895,65.18746230309162,96.11000000000058,98.0,100.0,101.0
write,4194304,3,35.42831182874708,35.34138701500152,35.472090791511796,118.3888371709473,115.86012382661913,176.0,176.0,181.0,182.0
write,8388608,3,38.23022561757633,38.14061343899004,38.28895469740906,219.42407286162637,216.93170450315958,230.0,290.0700000000288,340.0,342.0
write,16777216,3,39.780574458980695,39.71437439945985,39.81753935141252,421.7445218848949,419.2401700152059,579.3200000000652,651.6499999999996,660.1340000000018,661.0
write,33554432,3,40.37462545607061,40.36417338103253,40.38137358194148,831.0772614547418,828.5650754860786,942.6000000000167,1271.7199999999993,1283.0,1285.0
write,67108864,3,40.218340715051085,40.19957947487343,40.23570663778332,1668.6136691054846,1666.1096095283538,1762.400000000176,2617.05,2631.003,2634.0150000000003
