operation,message_bytes,mean_GBps,min_GBps,max_GBps,baseline_GBps,change_percent,mean_wall_us,mean_transfer_us,min_p99_us,max_p99_us,min_p999_us,max_p999_us,measured_operations,measured_bytes
read,4096,0.4651459108747723,0.4575730796853841,0.4693601706398294,0.5003561378674665,-7.037033090622458,8.807020598308707,7.969522096093298,10.0,11.0,17.0,20.0,1703416,6977191936
read,8192,0.9298092890276466,0.9221881856,0.941345620261752,0.9812618331638756,-5.2435081440323605,8.811106629409931,8.013249334778237,10.0,10.0,11.0,13.0,1702532,13947142144
read,16384,1.7782468222725647,1.7686706921293078,1.783895403262758,1.8692500605464117,-4.868435753707844,9.213704500284031,8.118648933961119,10.0,10.0,12.0,13.0,1628035,26673725440
read,32768,3.387195766571659,3.3589021572391373,3.4131252566997947,3.580697534218389,-5.404024377863803,9.674495168764858,8.723271754880093,10.0,11.0,13.0,27.0,1550536,50807963648
read,65536,6.195293280248187,6.130367285926543,6.278296921806157,6.6105201214267755,-6.2813036425486075,10.579399178296963,9.470716866760784,12.0,13.0,35.0,42.0,1417992,92929523712
read,131072,10.189972014228323,10.045166543066765,10.295315948704912,11.043801933350329,-7.731304167485931,12.8642379248727,11.83605650780262,15.0,15.0,18.0,20.0,1166151,152849743872
read,262144,15.57920126418906,15.069092917521248,16.066298554943177,17.50306697106177,-10.99159198815547,16.8380823099914,15.63002464916631,17.0,19.0,20.0,26.0,891451,233688530944
read,524288,20.956637275895396,20.906969855090434,21.031804707278116,22.964354957694546,-8.742756700537912,25.01792040630208,23.461093222246696,32.0,32.0,36.0,37.0,599575,314349977600
read,1048576,28.261218819330843,28.23558427354831,28.306337674638883,30.335508406330323,-6.837827008584519,37.10304747423089,35.16696497616981,51.0,51.0,54.0,59.0,404282,423920402432
read,2097152,29.45053827868747,29.396193135161372,29.47893375690218,30.524125696395707,-3.5171766372165236,71.20941411700885,68.56419255173735,87.0,88.0,94.0,98.0,210648,441760874496
read,4194304,34.995892438855876,34.9799286851553,35.00656876108726,35.80223107745133,-2.2522022073180215,119.85133570670291,117.14410482338248,156.0,157.0,163.0,164.0,125157,524946505728
read,8388608,38.708376605944316,38.6974209059508,38.724906641834835,39.19519339086779,-1.2420318483156167,216.71300961960713,213.98986482079127,251.0699999999306,296.3199999999997,303.0,303.0,69217,580634279936
read,16777216,40.93107844401615,40.91943341071963,40.943402614403915,41.22154820968126,-0.7046551579954707,409.8894433999424,407.1583855026053,427.92000000006374,485.75999999997293,583.0,585.0,36597,613995773952
read,33554432,41.46821969757634,41.20611417532886,41.96138510419456,41.55179880961917,-0.20114438950230573,809.2171413991467,806.4522700682589,820.5599999999995,1051.0000000001128,1144.0,1191.8560000000007,18539,622065614848
read,67108864,41.750739333874336,41.727932774978136,41.76582546861435,41.823256240512926,-0.17338895427359002,1607.3697240755273,1604.6608439839226,1613.8400000000001,2268.709999999906,2360.0,2365.0,9333,626327027712
write,4096,0.46760191904105364,0.4648625811923864,0.47117176805646394,0.5015755508396647,-6.773382741989176,8.759866576846948,7.819110565833217,10.0,10.0,14.0,19.0,1712412,7014039552
write,8192,0.9404962554968604,0.9352708096000001,0.946777795066646,0.9906987270880243,-5.067380245730679,8.710517631427457,7.937192903774412,10.0,10.0,12.0,12.0,1722101,14107451392
write,16384,1.8258288274562113,1.815263101684278,1.8398423489891813,1.9253342860587188,-5.168217245338802,8.973745227265733,8.101603920850668,10.0,10.0,12.0,12.0,1671598,27387461632
write,32768,3.450667585516795,3.435800007399992,3.4631240163503936,3.6564099802635868,-5.626896213973243,9.496235144823347,8.39270974167247,10.0,11.0,17.570000000065193,22.0,1579591,51760037888
write,65536,6.314624047241013,6.271210957746851,6.387091573890111,6.728749591086833,-6.1545691103498275,10.37913710049642,9.295521309054047,12.0,12.0,35.0,42.0,1445304,94719442944
write,131072,10.182644845275183,10.170130487895609,10.196167483966503,11.10367177332039,-8.294796053484088,12.87211185730185,11.844358685238257,15.0,15.0,18.0,21.0,1165312,152739774464
write,262144,15.362185238892762,15.148351982259207,15.57279046081908,17.075179699210093,-10.032072812660209,17.066411441323975,15.764241398968492,17.0,19.0,21.0,22.0,879032,230432964608
write,524288,21.271503709129277,21.010883424949725,21.487849133463815,23.013176365697383,-7.5681541256694125,24.649560193809325,23.120335548486846,27.0,32.0,32.0,37.0,608585,319073812480
write,1048576,28.181134574397767,27.856722306066164,28.499240224974287,29.7657023669789,-5.3234685109900255,37.21166410270688,35.2862103936608,56.0,58.0,60.0,60.0,403137,422719782912
write,2097152,29.844568908789565,29.720204728125957,29.951099443380112,30.969740273355836,-3.633131420008351,70.26984777286876,67.59738659117247,99.0,99.0,103.0,103.0,213466,447670648832
write,4194304,34.61660395945932,34.49596903725205,34.703608829504105,35.42831182874708,-2.2911277094189053,121.16529892746641,118.4634455655462,176.77999999999884,178.0,183.0,184.0,123800,519254835200
write,8388608,37.682958879825634,37.59786222610384,37.76248359748721,38.23022561757633,-1.431502767535564,222.61083071158532,219.90022377255747,257.5200000000186,336.0,342.0,344.0,67385,565266350080
write,16777216,39.43200484696949,39.317007479605074,39.497670504146726,39.780574458980695,-0.8762307149953963,425.47387567610497,422.7827926687437,457.509999999982,658.0,662.0,911.1130000000139,35257,591514304512
write,33554432,40.07214159233397,40.06262967859092,40.07759983394703,40.37462545607061,-0.7491929902006311,837.3506286148097,834.60058353179,1000.9800000000632,1280.29,1290.0,1291.0,17915,601127649280
write,67108864,40.15150974378873,40.14541884691976,40.15543048765147,40.218340715051085,-0.16617038414353802,1671.3908199643495,1668.6951871657755,1800.1800000001313,2018.5800000000963,2630.0090000000005,2636.0,8976,602369163264
