Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),281.88,0.00,26857.13,,,,,,160.83,,678.25,769.17,836.05,285.82
Active Decode Throughput Per User (tokens/sec/user),10.94,0.00,866.36,,,,,,6.74,,24.62,25.24,26.92,10.62
Active Prefill Throughput (tokens/sec),34282.58,1381.17,338960.85,,,,,,29097.60,,58818.97,68656.07,89391.55,21815.09
Active Prefill Throughput Per User (tokens/sec/user),2765.24,881.16,27433.24,,,,,,2545.78,,4738.86,5281.33,6490.16,1354.98
Active Total Throughput (tokens/sec),34491.34,8.79,338960.85,,,,,,29353.80,,59056.02,69028.20,89843.04,21896.94
Credit Drop Latency (ms),3.63,0.41,21.58,137.94,0.44,0.52,0.58,1.09,2.38,4.13,8.32,11.22,18.48,4.18
Credit-to-Start Latency (ms),1.95,0.46,63.68,2208.34,0.54,0.62,0.67,0.74,0.88,1.44,4.15,6.36,15.35,3.59
E2E Output Token Throughput (tokens/sec/user),5.87,0.02,13.38,6659.38,0.24,1.05,1.85,3.34,5.36,8.32,10.63,11.90,13.06,3.27
Effective Concurrency,37.10,0.00,51.00,,,,,,37.00,,45.00,46.00,49.00,6.47
Effective Decode Concurrency,24.72,0.00,32.00,,,,,,24.00,,31.00,32.00,32.00,4.85
Effective Decode Throughput (tokens/sec),280.79,0.00,26857.13,,,,,,150.87,,677.85,768.82,835.98,285.81
Effective Decode Throughput Per User (tokens/sec/user),10.90,0.00,866.36,,,,,,6.63,,24.62,25.24,26.92,10.62
Effective Latency (CO-aware) (ms),118972.29,12241.12,2417583.49,135033544.02,20988.00,26009.43,28675.72,38799.91,64991.81,121880.65,257602.67,416085.96,803649.26,174358.71
Effective Prefill Concurrency,12.38,0.00,49.00,,,,,,12.00,,16.00,17.00,19.00,3.32
Effective Prefill Throughput (tokens/sec),34096.85,0.00,338960.85,,,,,,29076.90,,58736.96,68580.50,89391.55,21900.98
Effective Prefill Throughput Per User (tokens/sec/user),2750.26,0.00,27433.24,,,,,,2542.26,,4738.86,5277.78,6490.16,1366.47
Effective Total Throughput (tokens/sec),34377.64,0.00,338960.85,,,,,,29324.63,,59052.67,69028.20,89843.04,21950.04
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,901.49,2.00,23766.00,1023196.00,14.34,76.00,95.00,127.00,302.00,871.50,2185.80,3895.50,8550.40,1809.51
HTTP Chunks Sent,1.00,1.00,1.00,1135.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.06,0.00,1.44,64.22,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.53,0.64,0.17
HTTP Connection Overhead (ms),0.07,0.00,2.37,83.32,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.74,0.91,0.23
HTTP Connection Reused (ratio),0.89,0.00,1.00,1007.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.32
HTTP Data Received (KB),226.44,1.11,5960.37,257007.78,4.22,19.67,24.43,32.45,76.37,219.16,549.30,977.62,2145.07,453.58
HTTP Data Sent (KB),431.74,1.09,1006.14,490020.99,4.66,117.45,180.81,263.73,360.62,612.87,791.61,879.49,964.26,236.00
HTTP DNS Lookup (ms),0.02,0.00,0.93,19.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.29,0.07
HTTP Duration (excl. conn) (ms),118970.28,12240.34,2417580.87,135031263.98,20987.05,26008.48,28672.94,38798.83,64991.22,121879.62,257601.85,416079.55,803648.34,174358.08
HTTP Receiving (ms),79263.56,38.42,2380153.15,89964141.04,777.14,4593.50,5997.72,9699.08,24070.13,70129.78,195947.42,353329.96,738586.92,169453.62
HTTP Sending (ms),0.20,0.04,1.53,223.49,0.10,0.11,0.11,0.12,0.15,0.17,0.45,0.67,0.83,0.17
HTTP Total Time (ms),118970.35,12240.34,2417580.87,135031347.30,20987.16,26008.48,28672.94,38798.83,64991.22,121879.62,257602.30,416079.55,803648.59,174358.08
HTTP Waiting (TTFB) (ms),39706.52,2118.64,154477.22,45066899.46,8424.97,14655.73,16841.16,21368.39,29315.53,49790.94,75587.14,99740.16,135020.57,27327.91
Input Sequence Length (tokens),109350.30,273.00,254393.00,124112587.00,1115.08,29726.20,46091.80,66426.50,91283.00,156012.00,200715.80,222920.40,244115.48,59813.64
Inter Chunk Latency (ms),88.53,0.18,8479.92,89963762.16,34.34,38.25,39.43,40.61,42.19,46.49,99.91,177.71,1190.81,218.99
Inter Token Latency (ms),87.39,38.42,918.31,99186.57,41.51,46.87,53.07,64.46,74.65,95.04,123.58,155.34,230.39,60.26
