Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),65.20,1.09,914.85,,,,,,26.47,,107.01,343.19,658.94,127.88
Active Decode Throughput Per User (tokens/sec/user),2.84,0.18,38.17,,,,,,1.19,,4.30,23.04,24.41,5.36
Active Prefill Throughput (tokens/sec),9594.87,680.78,271706.32,,,,,,8771.41,,11675.28,13098.08,41412.20,8832.42
Active Prefill Throughput Per User (tokens/sec/user),341.70,244.53,54509.14,,,,,,314.92,,404.66,443.82,907.13,152.72
Active Total Throughput (tokens/sec),9528.07,2.83,271706.32,,,,,,8832.99,,11681.86,13136.81,39938.10,8839.15
Credit Drop Latency (ms),2.33,0.61,4.47,30.34,0.67,0.89,1.11,1.76,2.27,2.91,3.43,3.91,4.35,1.02
Credit-to-Start Latency (ms),1.30,0.45,13.10,461.76,0.46,0.52,0.55,0.66,0.81,1.22,2.42,3.67,8.88,1.52
E2E Output Token Throughput (tokens/sec/user),0.94,0.01,3.05,333.36,0.03,0.19,0.28,0.39,0.77,1.34,1.92,2.36,2.84,0.68
Effective Concurrency,49.46,0.00,59.00,,,,,,54.00,,58.00,59.00,59.00,12.69
Effective Decode Concurrency,22.89,0.00,37.00,,,,,,23.00,,32.00,33.00,35.00,6.97
Effective Decode Throughput (tokens/sec),64.89,0.00,914.85,,,,,,26.33,,106.00,340.44,658.39,127.66
Effective Decode Throughput Per User (tokens/sec/user),2.83,0.00,38.17,,,,,,1.19,,4.20,22.93,24.41,5.35
Effective Latency (CO-aware) (ms),507168.28,70872.26,2941397.18,180044740.97,100594.45,229604.48,270847.94,336265.73,397866.73,515188.40,802400.36,1177562.31,2147478.83,370094.81
Effective Prefill Concurrency,26.57,0.00,58.00,,,,,,28.00,,33.00,34.00,44.00,8.20
Effective Prefill Throughput (tokens/sec),9421.41,0.00,271706.32,,,,,,8771.41,,11614.06,13098.08,39913.82,8845.08
Effective Prefill Throughput Per User (tokens/sec/user),335.52,0.00,54509.14,,,,,,313.41,,404.14,443.82,900.27,158.03
Effective Total Throughput (tokens/sec),9486.31,0.00,271706.32,,,,,,8832.99,,11681.86,13136.81,39938.10,8842.19
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,666.38,2.00,8399.00,236564.00,11.00,72.20,92.00,115.00,284.00,654.50,1424.00,2923.30,5864.14,1120.33
HTTP Chunks Sent,1.00,1.00,1.00,355.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.17,0.00,3.07,60.52,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.95,1.74,0.38
HTTP Connection Overhead (ms),0.22,0.00,4.88,79.10,0.00,0.00,0.00,0.00,0.00,0.00,0.78,1.16,2.08,0.52
HTTP Connection Reused (ratio),0.76,0.00,1.00,270.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.43
HTTP Data Received (KB),167.51,1.11,2107.84,59465.38,3.37,18.74,23.51,29.41,71.76,164.50,357.34,733.27,1470.80,280.75
HTTP Data Sent (KB),381.23,2.67,972.23,135336.49,4.82,90.83,131.95,184.62,361.15,503.75,716.73,836.38,961.16,232.05
HTTP DNS Lookup (ms),0.05,0.00,1.81,18.58,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.27,0.71,0.17
HTTP Duration (excl. conn) (ms),507166.93,70871.22,2941394.63,180044259.25,100592.61,229603.30,270847.25,336265.17,397859.89,515187.70,802399.02,1177561.30,2147475.74,370094.73
HTTP Receiving (ms),234716.22,45.25,2648026.07,83324258.36,899.81,7354.91,13295.76,36835.81,89972.68,262937.68,524782.42,1055577.04,1835970.11,373966.38
HTTP Sending (ms),0.30,0.08,3.19,105.77,0.10,0.10,0.11,0.11,0.14,0.19,0.71,1.08,1.85,0.38
HTTP Total Time (ms),507167.15,70872.07,2941394.95,180044338.35,100593.13,229603.98,270847.25,336265.17,397859.89,515187.70,802399.35,1177562.03,2147476.72,370094.79
HTTP Waiting (TTFB) (ms),272450.41,955.29,402995.06,96719895.12,18337.60,47690.17,169909.89,231450.51,298808.51,338508.31,358075.38,365760.89,380658.55,89010.33
Input Sequence Length (tokens),96602.69,659.00,246602.00,34293954.00,1180.16,23184.30,33073.20,46701.00,90864.00,127692.00,180597.40,212323.50,243181.36,58794.02
Inter Chunk Latency (ms),354.01,26.15,11816.84,83324256.25,38.84,40.81,41.12,41.64,100.15,526.93,951.34,1315.02,2437.09,502.52
Inter Token Latency (ms),363.34,40.19,1271.89,128986.16,41.42,96.27,147.15,251.41,338.88,474.78,633.60,676.04,848.41,183.69
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),666.38,2.00,8399.00,236566.00,11.00,72.20,92.00,115.00,284.00,654.50,1424.00,2923.30,5864.14,1120.33
