Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),254.17,0.00,35476.08,,,,,,394.10,,450.10,461.00,486.16,212.00
Active Decode Throughput Per User (tokens/sec/user),33.41,0.00,6504.71,,,,,,52.31,,56.98,58.66,73.70,27.43
Active Prefill Throughput (tokens/sec),31695.20,2977.45,322083.72,,,,,,26515.93,,55788.55,73215.51,117949.44,22442.93
Active Prefill Throughput Per User (tokens/sec/user),9705.89,1601.20,149653.72,,,,,,5193.49,,18781.43,29826.47,66768.90,13213.49
Active Total Throughput (tokens/sec),30714.97,65.11,322083.72,,,,,,25899.36,,55456.64,71489.03,114703.07,22829.78
Credit Drop Latency (ms),2.01,0.52,7.11,40.14,0.53,0.59,0.63,1.06,1.38,1.80,4.01,7.03,7.09,1.82
Credit-to-Start Latency (ms),1.14,0.37,16.80,368.44,0.48,0.51,0.53,0.61,0.74,0.95,1.87,3.04,7.24,1.53
E2E Output Token Throughput (tokens/sec/user),18.51,0.51,46.64,5978.47,1.02,5.06,6.94,10.74,17.49,25.45,31.07,35.08,43.58,9.62
Effective Concurrency,11.61,0.00,17.00,,,,,,12.00,,15.00,15.00,17.00,2.80
Effective Decode Concurrency,7.26,0.00,8.00,,,,,,7.00,,8.00,8.00,8.00,1.26
Effective Decode Throughput (tokens/sec),251.28,0.00,35476.08,,,,,,392.77,,449.98,460.92,485.92,212.50
Effective Decode Throughput Per User (tokens/sec/user),33.03,0.00,6504.71,,,,,,52.25,,56.92,58.61,73.69,27.51
Effective Latency (CO-aware) (ms),33790.36,447.74,310344.75,10914286.45,4022.52,6308.77,9139.76,14986.64,24796.36,37348.63,61537.61,102127.09,188501.09,36345.97
Effective Prefill Concurrency,4.35,0.00,10.00,,,,,,4.00,,7.00,8.00,9.00,2.18
Effective Prefill Throughput (tokens/sec),30132.00,0.00,322083.72,,,,,,25445.46,,55220.77,69366.00,114484.18,22933.51
