Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),273.54,0.00,37319.02,,,,,,387.16,,429.50,443.21,463.31,185.64
Active Decode Throughput Per User (tokens/sec/user),34.94,0.00,6219.84,,,,,,48.80,,53.92,55.45,58.17,23.54
Active Prefill Throughput (tokens/sec),27258.58,22.47,352554.48,,,,,,20740.23,,50398.84,68569.13,149500.47,25690.33
Active Prefill Throughput Per User (tokens/sec/user),14637.92,22.47,178512.60,,,,,,9006.00,,27664.31,43501.45,129147.90,20098.94
Active Total Throughput (tokens/sec),25133.49,27.67,352661.69,,,,,,19443.52,,48275.76,65778.90,146492.13,25706.89
Credit Drop Latency (ms),2.84,0.40,25.59,102.29,0.42,0.52,0.57,0.82,1.63,2.80,5.65,7.10,19.48,4.28
Credit-to-Start Latency (ms),2.11,0.37,72.71,1764.37,0.43,0.51,0.55,0.66,0.82,1.81,4.62,7.47,18.86,4.56
E2E Output Token Throughput (tokens/sec/user),21.93,0.16,46.12,18331.48,0.94,5.59,8.17,13.50,21.49,30.99,36.58,38.96,41.32,10.62
Effective Concurrency,9.83,0.00,16.00,,,,,,10.00,,12.00,14.00,15.00,2.00
Effective Decode Concurrency,7.49,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.88
Effective Decode Throughput (tokens/sec),272.72,0.00,37319.02,,,,,,387.06,,429.37,443.18,463.26,185.97
Effective Decode Throughput Per User (tokens/sec/user),34.83,0.00,6219.84,,,,,,48.79,,53.90,55.45,58.17,23.58
Effective Latency (CO-aware) (ms),42704.90,519.68,866152.30,35701296.43,3171.71,6319.30,8943.91,14726.80,23330.24,41229.34,85262.69,142879.89,321293.43,67056.11
Effective Prefill Concurrency,2.34,0.00,11.00,,,,,,2.00,,5.00,6.00,8.00,1.81
Effective Prefill Throughput (tokens/sec),24806.08,0.00,352554.48,,,,,,19133.14,,47989.46,65565.70,146284.21,25718.66
Effective Prefill Throughput Per User (tokens/sec/user),13320.92,0.00,178512.60,,,,,,8168.28,,26541.51,41565.60,111807.32,19625.63
Effective Total Throughput (tokens/sec),25078.80,0.00,352661.69,,,,,,19410.00,,48274.30,65778.90,146492.13,25705.60
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1185.10,1.00,32369.00,990741.00,12.35,85.75,116.00,209.75,415.00,1042.75,2686.50,5090.50,10558.50,2471.36
HTTP Chunks Sent,1.00,1.00,1.00,836.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.43,40.21,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.37,0.63,0.16
HTTP Connection Overhead (ms),0.06,0.00,1.99,48.51,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.37,0.87,0.20
HTTP Connection Reused (ratio),0.90,0.00,1.00,750.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),297.04,0.86,8130.72,248328.66,3.70,22.02,29.52,52.80,104.24,260.65,673.17,1277.63,2637.61,619.19
HTTP Data Sent (KB),425.15,1.54,1007.09,355424.41,5.52,115.32,180.04,292.35,404.74,536.63,717.08,805.41,951.39,203.23
HTTP DNS Lookup (ms),0.01,0.00,0.68,8.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.05
HTTP Duration (excl. conn) (ms),42702.74,517.36,866151.46,35699487.09,3167.12,6318.62,8942.48,14725.92,23329.49,41228.57,85261.91,142876.45,321281.18,67055.15
HTTP Receiving (ms),32534.01,0.00,857669.71,27198433.92,231.56,1782.15,2606.54,5176.96,11343.22,29260.01,75763.96,138028.23,305708.87,66611.32
HTTP Sending (ms),0.17,0.06,1.60,146.08,0.09,0.10,0.10,0.11,0.13,0.15,0.30,0.54,0.78,0.16
HTTP Total Time (ms),42702.79,517.36,866151.79,35699535.60,3167.12,6318.62,8942.48,14725.92,23329.49,41228.57,85261.91,142876.45,321281.18,67055.16
HTTP Waiting (TTFB) (ms),10168.55,132.03,47214.06,8500907.09,704.19,1153.32,1806.58,4510.89,8357.25,13766.84,20853.44,23891.30,38045.70,7881.41
Input Sequence Length (tokens),107710.64,337.00,255550.00,90046099.00,1328.95,29344.50,46101.50,74056.25,102818.00,135523.75,181000.50,204093.25,240303.75,51351.35
Inter Chunk Latency (ms),27.56,0.00,5517.66,27198274.36,16.36,17.67,18.15,19.27,19.97,20.54,20.93,21.14,39.84,101.83
Inter Token Latency (ms),27.72,17.23,123.17,23122.32,17.95,19.16,19.92,21.71,25.36,30.15,36.36,46.33,62.18,10.18
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1185.16,1.00,32370.00,990796.00,12.35,85.75,116.00,209.75,415.00,1042.75,2687.50,5090.50,10558.50,2471.44
Output Token Count (tokens),1185.16,1.00,32370.00,990796.00,12.35,85.75,116.00,209.75,415.00,1042.75,2687.50,5090.50,10558.50,2471.44
Output Token Throughput Per User (tokens/sec/user),39.00,8.12,58.03,32529.77,16.09,21.59,27.50,33.17,39.44,46.07,50.21,52.21,55.72,9.13
Prefill Throughput Per User (tokens/sec/user),25771.60,22.47,178512.60,21545057.32,236.42,1849.20,3020.03,5992.91,12197.63,25320.82,65563.07,131616.27,163145.68,36621.83
Request Latency (ms),42702.63,517.40,866151.53,35699395.68,3167.17,6318.67,8942.54,14725.99,23329.54,41228.63,85261.97,142876.49,321281.23,67055.13
Requested OSL (tokens),1185.16,1.00,32370.00,990796.00,12.35,85.75,116.00,209.75,415.00,1042.75,2687.50,5090.50,10558.50,2471.44
Time to First Output Token (ms),10168.81,132.17,47214.26,8501121.32,704.33,1153.96,1806.78,4511.07,8357.45,13767.48,20853.64,23891.47,38045.93,7881.41
Time to First Token (ms),10168.81,132.17,47214.26,8501121.32,704.33,1153.96,1806.78,4511.07,8357.45,13767.48,20853.64,23891.47,38045.93,7881.41
Time to Second Token (ms),32.37,0.32,1812.35,26995.40,13.04,17.01,17.39,18.07,19.23,19.89,20.39,20.70,473.08,133.05
Tokens In Flight (tokens),1261700.78,0.00,1592876.82,,,,,,1295089.28,,1451706.16,1482527.18,1571229.89,185678.85
Usage Completion Tokens (tokens),1185.16,1.00,32370.00,990796.00,12.35,85.75,116.00,209.75,415.00,1042.75,2687.50,5090.50,10558.50,2471.44
Usage Prompt Tokens (tokens),107710.64,337.00,255550.00,90046099.00,1328.95,29344.50,46101.50,74056.25,102818.00,135523.75,181000.50,204093.25,240303.75,51351.35
Usage Total Tokens (tokens),108895.81,358.00,255734.00,91036895.00,1347.50,29695.75,46354.00,74573.25,104206.50,137624.75,182999.50,205434.25,243722.35,52020.10

Metric,Value
Benchmark Duration (sec),3622.10
Input Token Throughput (tokens/sec),24806.08
Maximum Response Timestamp (ns),1785145032918611456.00
Minimum Request Timestamp (ns),1785141410816987904.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),272.95
Request Count,836.00
Request Throughput (requests/sec),0.23
Theoretical Prefix Cache Hit (%),95.42
Total Input Sequence Length (tokens),90046099.00
Total Output Sequence Length (tokens),990796.00
Total Output Tokens (tokens),990796.00
Total Token Throughput (tokens/sec),25079.03
Total Usage Completion Tokens (tokens),990796.00
