Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),252.82,0.00,30013.13,,,,,,400.29,,448.67,456.80,483.33,206.70
Active Decode Throughput Per User (tokens/sec/user),32.82,0.00,3751.64,,,,,,50.98,,56.46,57.79,71.96,26.31
Active Prefill Throughput (tokens/sec),29852.21,6596.51,282199.57,,,,,,26076.80,,44737.33,54555.35,84848.29,18380.56
Active Prefill Throughput Per User (tokens/sec/user),8170.98,1902.55,126485.93,,,,,,5417.40,,16258.23,21092.05,39030.33,8354.72
Active Total Throughput (tokens/sec),29152.67,42.50,282199.57,,,,,,26139.57,,44570.34,53972.22,84301.14,18822.41
Credit Drop Latency (ms),2.03,0.41,6.84,38.53,0.44,0.56,0.87,1.14,1.40,2.01,3.88,6.46,6.76,1.69
Credit-to-Start Latency (ms),1.21,0.43,16.73,373.47,0.48,0.56,0.62,0.70,0.82,0.99,1.99,3.64,7.29,1.47
E2E Output Token Throughput (tokens/sec/user),16.89,0.46,45.49,5218.82,3.44,5.36,6.60,10.05,15.66,23.18,29.25,32.38,37.03,8.60
Effective Concurrency,11.91,0.00,17.00,,,,,,12.00,,15.00,16.00,17.00,2.84
Effective Decode Concurrency,7.34,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.30
Effective Decode Throughput (tokens/sec),249.26,0.00,30013.13,,,,,,397.78,,448.51,456.60,482.31,207.38
Effective Decode Throughput Per User (tokens/sec/user),32.35,0.00,3751.64,,,,,,50.81,,56.43,57.77,71.93,26.41
Effective Latency (CO-aware) (ms),36217.44,3040.92,310578.78,11191187.93,5314.43,8784.02,11093.51,16917.65,26189.07,39297.63,69138.61,101849.10,200176.34,37703.90
Effective Prefill Concurrency,4.56,0.00,10.00,,,,,,4.00,,8.00,8.00,9.00,2.23
Effective Prefill Throughput (tokens/sec),28523.75,0.00,282199.57,,,,,,25829.95,,44041.78,53823.62,84086.10,18992.19
Effective Prefill Throughput Per User (tokens/sec/user),7807.36,0.00,126485.93,,,,,,5256.47,,16132.29,21092.05,38881.30,8338.71
Effective Total Throughput (tokens/sec),28773.01,0.00,282199.57,,,,,,26063.43,,44360.56,53972.22,84301.14,18989.29
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,759.25,14.00,9075.00,234609.00,23.88,92.80,112.00,197.00,327.00,714.00,1609.80,2866.20,6480.68,1230.25
HTTP Chunks Sent,1.00,1.00,1.00,309.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,0.68,16.74,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.41,0.59,0.15
HTTP Connection Overhead (ms),0.06,0.00,0.95,19.61,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.41,0.82,0.18
HTTP Connection Reused (ratio),0.87,0.00,1.00,270.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33
HTTP Data Received (KB),190.55,4.11,2270.77,58879.40,6.61,23.82,28.48,49.99,81.86,179.05,401.64,714.56,1624.41,307.90
HTTP Data Sent (KB),342.22,1.78,1007.09,105746.11,8.86,112.97,130.19,226.25,330.66,432.48,491.95,580.74,993.88,181.48
HTTP DNS Lookup (ms),0.01,0.00,0.28,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.05
HTTP Duration (excl. conn) (ms),36216.17,3040.31,310577.70,11190796.14,5313.42,8783.14,11092.77,16916.71,26188.19,39296.83,69134.85,101847.14,200175.16,37703.65
HTTP Receiving (ms),22332.90,230.50,302055.44,6900866.71,416.98,1980.11,2543.06,5079.78,10491.14,21326.42,51745.05,90228.52,189912.42,36960.75
HTTP Sending (ms),0.19,0.05,0.88,59.30,0.09,0.10,0.11,0.12,0.14,0.16,0.46,0.58,0.75,0.15
HTTP Total Time (ms),36216.23,3040.31,310578.51,11190815.76,5313.42,8783.14,11092.77,16916.71,26188.19,39296.83,69134.85,101847.14,200175.98,37703.68
HTTP Waiting (TTFB) (ms),13883.07,559.93,32937.06,4289870.13,981.37,3285.94,3938.90,7520.05,13094.14,20658.69,23887.65,26717.37,31202.06,7747.13
Input Sequence Length (tokens),86771.38,467.00,255551.00,26812355.00,2193.68,28689.20,33041.20,57441.00,84007.00,110335.00,125226.60,146525.40,252122.60,45964.16
Inter Chunk Latency (ms),29.53,0.26,5022.92,6900800.91,13.53,17.14,17.49,18.05,18.51,19.24,20.11,22.15,441.00,109.84
Inter Token Latency (ms),29.37,16.96,104.30,9075.02,17.54,18.43,19.10,22.53,26.13,32.68,41.70,51.69,73.73,11.91
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),759.28,14.00,9075.00,234617.00,23.88,92.80,112.00,197.00,327.00,714.00,1609.80,2866.20,6481.60,1230.29
Output Token Count (tokens),759.28,14.00,9075.00,234617.00,23.88,92.80,112.00,197.00,327.00,714.00,1609.80,2866.20,6481.60,1230.29
Output Token Throughput Per User (tokens/sec/user),37.73,9.59,58.96,11658.11,13.56,19.35,23.98,30.60,38.26,44.39,52.36,54.26,57.01,10.32
Prefill Throughput Per User (tokens/sec/user),11163.63,20.07,126485.89,3449562.69,339.64,1336.73,1862.11,3853.17,6282.73,12428.50,24480.39,33527.08,88850.94,15544.74
Request Latency (ms),36216.08,3040.35,310577.75,11190769.64,5313.52,8783.20,11092.82,16916.78,26188.25,39296.88,69134.92,101847.20,200133.99,37703.01
Requested OSL (tokens),759.28,14.00,9075.00,234617.00,23.88,92.80,112.00,197.00,327.00,714.00,1609.80,2866.20,6481.60,1230.29
Time to First Output Token (ms),13883.39,560.19,32937.87,4289968.73,981.57,3286.20,3939.17,7520.28,13094.40,20658.88,23887.82,26717.59,31202.96,7747.10
Time to First Token (ms),13883.39,560.19,32937.87,4289968.73,981.57,3286.20,3939.17,7520.28,13094.40,20658.88,23887.82,26717.59,31202.96,7747.10
Time to Second Token (ms),67.83,8.33,2124.78,20960.53,12.49,16.44,16.89,17.44,17.94,18.49,19.31,25.79,2124.75,302.75
Tokens In Flight (tokens),1172848.08,0.00,1506212.42,,,,,,1222945.80,,1399570.56,1433799.47,1470393.13,240777.25
Usage Completion Tokens (tokens),759.28,14.00,9075.00,234617.00,23.88,92.80,112.00,197.00,327.00,714.00,1609.80,2866.20,6481.60,1230.29
Usage Prompt Tokens (tokens),86771.38,467.00,255551.00,26812355.00,2193.68,28689.20,33041.20,57441.00,84007.00,110335.00,125226.60,146525.40,252122.60,45964.16
Usage Total Tokens (tokens),87530.65,486.00,255735.00,27046972.00,2211.12,28914.60,33261.00,58214.00,85480.00,110701.00,126504.00,147243.00,253478.28,46281.83

Metric,Value
Benchmark Duration (sec),927.76
Input Token Throughput (tokens/sec),28523.75
Maximum Response Timestamp (ns),1785129685561442048.00
Minimum Request Timestamp (ns),1785128757802040320.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),249.59
Request Count,309.00
Request Throughput (requests/sec),0.33
Theoretical Prefix Cache Hit (%),94.10
Total Input Sequence Length (tokens),26812355.00
Total Output Sequence Length (tokens),234617.00
Total Output Tokens (tokens),234617.00
Total Token Throughput (tokens/sec),28773.34
Total Usage Completion Tokens (tokens),234617.00
Total Usage Prompt Tokens (tokens),26812355.00
Total Usage Total Tokens (tokens),27046972.00
