Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),271.77,0.00,33783.74,,,,,,381.46,,428.84,441.80,468.88,187.33
Active Decode Throughput Per User (tokens/sec/user),34.46,0.00,4222.97,,,,,,47.91,,53.75,55.45,59.58,23.72
Active Prefill Throughput (tokens/sec),26028.14,62.82,238089.97,,,,,,21004.81,,49421.58,65287.23,120595.40,21620.16
Active Prefill Throughput Per User (tokens/sec/user),13988.56,62.82,141396.26,,,,,,9126.13,,26933.87,39820.92,100806.58,16758.32
Active Total Throughput (tokens/sec),24545.09,44.72,238354.14,,,,,,19914.57,,48458.39,63549.85,118934.38,21860.65
Credit Drop Latency (ms),2.70,0.42,22.77,99.77,0.42,0.52,0.59,1.10,1.61,2.91,5.27,6.83,17.47,3.79
Credit-to-Start Latency (ms),2.12,0.33,74.28,1745.90,0.47,0.57,0.64,0.74,0.86,1.67,4.59,7.82,17.09,4.57
E2E Output Token Throughput (tokens/sec/user),21.70,0.06,48.28,17833.65,1.19,5.12,8.24,13.28,21.27,30.12,35.96,37.93,42.62,10.47
Effective Concurrency,9.87,0.00,16.00,,,,,,10.00,,12.00,14.00,15.00,1.88
Effective Decode Concurrency,7.55,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.84
Effective Decode Throughput (tokens/sec),270.80,0.00,33783.74,,,,,,381.34,,428.76,441.73,468.78,187.70
Effective Decode Throughput Per User (tokens/sec/user),34.34,0.00,4222.97,,,,,,47.90,,53.74,55.44,59.58,23.76
Effective Latency (CO-aware) (ms),43601.78,626.29,913218.65,35840659.42,4162.63,7289.71,9695.69,14114.12,23571.99,43684.37,84422.33,148277.76,318645.91,68958.46
Effective Prefill Concurrency,2.32,0.00,10.00,,,,,,2.00,,4.00,6.00,8.00,1.79
Effective Prefill Throughput (tokens/sec),24199.58,0.00,238089.97,,,,,,19551.15,,48156.64,63275.82,118681.50,21882.49
Effective Prefill Throughput Per User (tokens/sec/user),13005.81,0.00,141396.26,,,,,,8483.11,,26050.42,37498.16,95116.78,16549.71
Effective Total Throughput (tokens/sec),24470.38,0.00,238354.14,,,,,,19808.19,,48421.99,63549.85,118934.38,21869.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1196.70,1.00,32365.00,983690.00,12.21,87.10,117.10,214.25,425.50,1057.50,2702.80,5113.20,10568.52,2488.22
HTTP Chunks Sent,1.00,1.00,1.00,822.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,0.69,35.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.60,0.14
HTTP Connection Overhead (ms),0.05,0.00,0.99,43.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.87,0.18
HTTP Connection Reused (ratio),0.90,0.00,1.00,740.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),299.86,0.86,8115.13,246482.55,3.67,22.45,29.98,54.16,108.83,265.60,672.83,1281.28,2645.24,622.88
HTTP Data Sent (KB),421.80,1.54,1007.09,346721.88,5.18,114.51,180.01,288.51,403.62,526.17,711.11,803.65,942.61,202.40
HTTP DNS Lookup (ms),0.01,0.00,0.31,8.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.05
HTTP Duration (excl. conn) (ms),43599.59,623.22,913217.86,35838865.97,4161.93,7284.28,9694.92,14112.34,23570.90,43682.86,84418.50,148276.87,318637.87,68957.47
HTTP Receiving (ms),33363.00,0.00,869391.40,27424388.72,257.43,1867.30,2543.28,5559.33,11392.89,30458.84,74186.79,140973.35,314999.70,68302.47
HTTP Sending (ms),0.18,0.05,0.87,146.07,0.09,0.10,0.10,0.11,0.14,0.16,0.22,0.55,0.78,0.14
HTTP Total Time (ms),43599.65,623.22,913218.78,35838909.77,4161.93,7284.28,9694.92,14112.91,23570.90,43682.86,84418.50,148276.87,318637.87,68957.49
HTTP Waiting (TTFB) (ms),10236.41,214.50,45352.88,8414331.17,713.38,1522.36,2286.25,4686.46,8538.36,14531.42,20738.52,24538.85,31499.09,7398.51
Input Sequence Length (tokens),106866.76,337.00,255550.00,87844477.00,1238.98,29215.25,45655.60,73024.25,102380.00,132918.75,179426.90,203689.05,238320.22,51146.37
Inter Chunk Latency (ms),27.97,0.22,5615.70,27424344.28,15.69,17.63,18.24,19.36,20.26,20.88,21.29,21.54,84.16,100.29
Inter Token Latency (ms),27.97,17.41,161.74,22936.85,17.82,19.02,20.04,21.90,25.67,30.10,37.86,43.93,73.59,10.87
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1196.86,1.00,32370.00,983815.00,12.21,87.10,117.10,214.25,425.50,1058.25,2703.00,5114.30,10571.10,2488.51
Output Token Count (tokens),1196.86,1.00,32370.00,983815.00,12.21,87.10,117.10,214.25,425.50,1058.25,2703.00,5114.30,10571.10,2488.51
