Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),159.11,0.38,14738.50,,,,,,135.18,,364.83,382.83,422.69,154.85
Active Decode Throughput Per User (tokens/sec/user),11.94,0.19,1637.61,,,,,,12.52,,24.04,24.75,27.20,11.15
Active Prefill Throughput (tokens/sec),16124.79,1367.27,207479.74,,,,,,15178.33,,22439.23,24815.94,32639.40,9993.36
Active Prefill Throughput Per User (tokens/sec/user),1536.82,742.45,36944.86,,,,,,1441.10,,2125.68,2379.82,3507.54,955.81
Active Total Throughput (tokens/sec),16251.98,6.23,207479.74,,,,,,15298.48,,22617.20,24998.09,32854.71,10016.82
Credit Drop Latency (ms),5.25,0.98,63.98,215.19,0.99,1.00,1.09,1.27,2.85,5.02,8.01,11.83,46.55,9.95
Credit-to-Start Latency (ms),3.64,0.87,69.58,2397.42,1.02,1.15,1.22,1.37,1.60,2.78,7.31,12.32,36.94,6.76
E2E Output Token Throughput (tokens/sec/user),4.85,0.03,14.23,3199.00,0.31,1.04,1.38,2.22,3.97,6.96,9.72,11.30,12.93,3.25
Effective Concurrency,23.14,0.00,31.00,,,,,,23.00,,28.00,29.00,31.00,4.55
Effective Decode Concurrency,12.51,0.00,16.00,,,,,,13.00,,16.00,16.00,16.00,3.01
Effective Decode Throughput (tokens/sec),158.36,0.00,14738.50,,,,,,122.86,,364.65,382.63,422.53,154.87
Effective Decode Throughput Per User (tokens/sec/user),11.89,0.00,1637.61,,,,,,11.53,,24.03,24.75,27.20,11.15
Effective Latency (CO-aware) (ms),127790.81,8862.34,1508041.08,84214145.99,38051.02,44622.43,49814.33,61698.62,86794.67,133982.52,205576.02,339929.69,845154.41,145019.97
Effective Prefill Concurrency,10.63,0.00,17.00,,,,,,11.00,,14.00,15.00,16.00,2.65
Effective Prefill Throughput (tokens/sec),16034.03,0.00,207479.74,,,,,,15178.33,,22424.02,24815.94,32639.40,10037.95
Effective Prefill Throughput Per User (tokens/sec/user),1528.17,0.00,36944.86,,,,,,1438.28,,2122.98,2379.82,3507.54,960.02
Effective Total Throughput (tokens/sec),16192.38,0.00,207479.74,,,,,,15278.94,,22617.20,24998.09,32854.71,10046.58
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,875.48,2.00,17703.00,576944.00,17.16,83.90,101.00,135.00,340.00,755.50,1942.40,3695.90,9961.86,1776.43
HTTP Chunks Sent,1.00,1.00,1.00,659.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.12,0.00,1.40,79.15,0.00,0.00,0.00,0.00,0.00,0.00,0.65,1.05,1.30,0.32
HTTP Connection Overhead (ms),0.15,0.00,2.08,99.45,0.00,0.00,0.00,0.00,0.00,0.00,0.65,1.48,1.81,0.42
HTTP Connection Reused (ratio),0.86,0.00,1.00,570.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.34
HTTP Data Received (KB),219.52,1.10,4427.62,144666.10,4.89,21.62,25.89,34.44,85.49,189.97,487.48,925.31,2501.93,444.34
HTTP Data Sent (KB),349.98,1.54,887.92,230636.33,10.00,88.55,130.66,197.94,314.59,452.71,650.29,703.20,809.22,191.77
