Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),71.78,0.00,6468.47,,,,,,71.37,,79.32,80.98,86.22,7.46
Active Decode Throughput Per User (tokens/sec/user),71.78,0.00,6468.47,,,,,,71.37,,79.32,80.98,86.22,7.46
Active Prefill Throughput (tokens/sec),14474.36,195.61,311625.46,,,,,,1956.10,,56012.22,84985.08,127565.03,28592.97
Active Prefill Throughput Per User (tokens/sec/user),13397.22,195.61,311625.46,,,,,,1062.90,,56012.22,84985.08,127565.03,28730.18
Active Total Throughput (tokens/sec),5743.68,45.37,311625.46,,,,,,75.41,,9851.28,30835.17,114048.20,19239.89
Credit Drop Latency (ms),3.63,0.62,9.89,58.04,0.63,0.66,1.41,2.34,3.14,4.07,6.24,7.87,9.49,2.27
Credit-to-Start Latency (ms),3.67,0.88,50.59,714.73,0.96,1.09,1.22,1.39,1.65,2.55,9.05,15.04,27.37,5.96
E2E Output Token Throughput (tokens/sec/user),44.52,0.85,73.91,8680.75,2.05,4.44,8.56,26.92,50.11,63.16,68.72,70.94,72.75,21.92
Effective Concurrency,1.37,0.00,4.00,,,,,,1.00,,3.00,3.00,4.00,0.89
Effective Decode Concurrency,0.82,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.39
Effective Decode Throughput (tokens/sec),58.63,0.00,6468.47,,,,,,70.31,,78.80,80.45,84.90,28.58
Effective Decode Throughput Per User (tokens/sec/user),58.63,0.00,6468.47,,,,,,70.31,,78.80,80.45,84.90,28.58
Effective Latency (CO-aware) (ms),25467.06,310.21,280441.75,4966077.22,342.94,1899.08,2126.38,3403.23,9409.62,31104.33,77602.56,101019.57,175707.25,38457.58
Effective Prefill Concurrency,0.55,0.00,3.00,,,,,,0.00,,2.00,2.00,3.00,0.84
Effective Prefill Throughput (tokens/sec),5212.44,0.00,311625.46,,,,,,0.00,,9377.18,26650.47,110673.56,18511.96
Effective Prefill Throughput Per User (tokens/sec/user),4824.55,0.00,311625.46,,,,,,0.00,,6949.52,23081.89,110673.56,18401.28
Effective Total Throughput (tokens/sec),5271.07,0.00,311625.46,,,,,,74.22,,9377.18,26732.55,110673.56,18498.79
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1091.90,2.00,17710.00,212921.00,13.70,61.10,94.40,121.50,347.00,801.00,2971.60,5502.40,12073.82,2193.19
